Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,4360.000000,4450.000000,4360.000000,4450.000000,4187.359375,160729900
2022-06-16,4420.000000,4530.000000,4410.000000,4430.000000,4168.540039,240023000
2022-06-17,4370.000000,4400.000000,4350.000000,4370.000000,4112.080566,185763100
2022-06-20,4400.000000,4410.000000,4340.000000,4400.000000,4140.310059,95058800
2022-06-21,4430.000000,4430.000000,4380.000000,4380.000000,4121.490723,103964600
2022-06-22,4410.000000,4410.000000,4310.000000,4320.000000,4065.031738,106208500
2022-06-23,4300.000000,4360.000000,4300.000000,4310.000000,4055.622314,127600700
2022-06-24,4320.000000,4350.000000,4310.000000,4340.000000,4083.851807,66083900
2022-06-27,4310.000000,4330.000000,4270.000000,4280.000000,4027.392822,152306100
2022-06-28,4320.000000,4330.000000,4280.000000,4300.000000,4046.212158,178535800
2022-06-29,4280.000000,4310.000000,4180.000000,4180.000000,3933.294678,228536100
2022-06-30,4120.000000,4220.000000,4120.000000,4150.000000,3905.065430,239939100
2022-07-01,4150.000000,4200.000000,4110.000000,4140.000000,3895.655762,154659500
2022-07-04,4090.000000,4120.000000,3960.000000,4040.000000,3801.557617,246853600
2022-07-05,4040.000000,4160.000000,4040.000000,4090.000000,3848.606689,180648400
2022-07-06,4050.000000,4100.000000,4020.000000,4080.000000,3839.197021,125309100
2022-07-07,4040.000000,4110.000000,4040.000000,4050.000000,3810.967529,172127500
2022-07-08,4090.000000,4200.000000,4050.000000,4200.000000,3952.114502,112914000
2022-07-11,4150.000000,4170.000000,4100.000000,4120.000000,3876.835938,80867700
2022-07-12,4120.000000,4140.000000,4100.000000,4110.000000,3867.426270,56085200
2022-07-13,4110.000000,4130.000000,4030.000000,4060.000000,3820.377197,165745200
2022-07-14,4010.000000,4090.000000,4010.000000,4070.000000,3829.786865,188729700
2022-07-15,4060.000000,4120.000000,4050.000000,4110.000000,3867.426270,91362800
2022-07-18,4110.000000,4140.000000,4080.000000,4140.000000,3895.655762,135284500
2022-07-19,4150.000000,4150.000000,4110.000000,4110.000000,3867.426270,122905900
2022-07-20,4180.000000,4300.000000,4160.000000,4300.000000,4046.212158,220223600
2022-07-21,4300.000000,4310.000000,4230.000000,4310.000000,4055.622314,130405400
2022-07-22,4330.000000,4330.000000,4270.000000,4270.000000,4017.982910,86561100
2022-07-25,4250.000000,4300.000000,4250.000000,4250.000000,3999.163574,60952800
2022-07-26,4270.000000,4350.000000,4260.000000,4330.000000,4074.441895,97709800
2022-07-27,4380.000000,4380.000000,4300.000000,4320.000000,4065.031738,88570800
2022-07-28,4340.000000,4400.000000,4340.000000,4360.000000,4102.671387,136421400
2022-07-29,4390.000000,4430.000000,4340.000000,4360.000000,4102.671387,228669400
2022-08-01,4390.000000,4410.000000,4330.000000,4360.000000,4102.671387,200791700
2022-08-02,4360.000000,4400.000000,4300.000000,4400.000000,4140.310059,173931000
2022-08-03,4410.000000,4420.000000,4350.000000,4380.000000,4121.490723,103412300
2022-08-04,4380.000000,4390.000000,4350.000000,4360.000000,4102.671387,120175700
2022-08-05,4360.000000,4400.000000,4320.000000,4360.000000,4102.671387,168879400
2022-08-08,4360.000000,4400.000000,4340.000000,4370.000000,4112.080566,107242600
2022-08-09,4400.000000,4470.000000,4390.000000,4410.000000,4149.720215,181747100
2022-08-10,4350.000000,4370.000000,4300.000000,4310.000000,4055.622314,205341100
2022-08-11,4380.000000,4410.000000,4340.000000,4350.000000,4093.261230,193329000
2022-08-12,4340.000000,4350.000000,4320.000000,4320.000000,4065.031738,103916700
2022-08-15,4330.000000,4350.000000,4300.000000,4300.000000,4046.212158,135099400
2022-08-16,4350.000000,4350.000000,4270.000000,4280.000000,4027.392822,205432400
2022-08-18,4330.000000,4340.000000,4310.000000,4330.000000,4074.441895,138795300
