Xt-4,Xt-3,Xt-2,Xt-1,Xt-0,Data Prediksi
594601900,82959800,78671600,71277800,87321400,53350600
82959800,78671600,71277800,87321400,53350600,43581100
78671600,71277800,87321400,53350600,43581100,74123800
71277800,87321400,53350600,43581100,74123800,117912500
87321400,53350600,43581100,74123800,117912500,106690700
53350600,43581100,74123800,117912500,106690700,182091500
43581100,74123800,117912500,106690700,182091500,100200100
74123800,117912500,106690700,182091500,100200100,95136500
117912500,106690700,182091500,100200100,95136500,188071000
106690700,182091500,100200100,95136500,188071000,292142000
182091500,100200100,95136500,188071000,292142000,175932000
100200100,95136500,188071000,292142000,175932000,166164900
95136500,188071000,292142000,175932000,166164900,282510000
188071000,292142000,175932000,166164900,282510000,211610100
292142000,175932000,166164900,282510000,211610100,210887800
175932000,166164900,282510000,211610100,210887800,134592100
166164900,282510000,211610100,210887800,134592100,172170900
282510000,211610100,210887800,134592100,172170900,150577400
211610100,210887800,134592100,172170900,150577400,178026000
210887800,134592100,172170900,150577400,178026000,117204100
134592100,172170900,150577400,178026000,117204100,116038300
172170900,150577400,178026000,117204100,116038300,81964700
150577400,178026000,117204100,116038300,81964700,84009300
178026000,117204100,116038300,81964700,84009300,113840400
117204100,116038300,81964700,84009300,113840400,178282600
116038300,81964700,84009300,113840400,178282600,185972400
81964700,84009300,113840400,178282600,185972400,280039200
84009300,113840400,178282600,185972400,280039200,181849300
113840400,178282600,185972400,280039200,181849300,145413400
178282600,185972400,280039200,181849300,145413400,198479900
185972400,280039200,181849300,145413400,198479900,141366300
280039200,181849300,145413400,198479900,141366300,140923100
181849300,145413400,198479900,141366300,140923100,168599500
145413400,198479900,141366300,140923100,168599500,177400700
198479900,141366300,140923100,168599500,177400700,181146600
141366300,140923100,168599500,177400700,181146600,144569400
140923100,168599500,177400700,181146600,144569400,120995200
168599500,177400700,181146600,144569400,120995200,84568100
177400700,181146600,144569400,120995200,84568100,69966200
181146600,144569400,120995200,84568100,69966200,104019300
